Name,Ratings,Reviews,Type,Location,Menu_price,PAX,Rooms,Amenities
Mohan Leela Royal,5.0,1 review,Banquet Hall,"Wazirpur, Delhi NCR ",₹600per plate,60-200,,+2 more
Aashirwad Banquet,5.0,1 review,Banquet Hall,"Janakpuri, Delhi NCR ",₹750per plate,300-400,,+2 more
Yadu Greens by Five Spice,4.8,45 reviews,Farmhouse With Banquet,"Gt Karnal Road, Delhi NCR ",Rental Only,100-1200,14,+5 more
Chancellor Club,5.0,1 review,Banquet Hall & Lawn,"Ghaziabad, Ghaziabad ","₹1,000per plate",125-600,,+1 more
OSR Lazeez A Tandoori Hub,5.0,1 review,Small Function Hall,"Azadpur, Delhi NCR ",₹400per plate,45-90,,+2 more
The Ritz by FNP Venues,4.8,25 reviews,Luxe Banquet Hall,"DLF Phase 3, Gurgaon ","₹8,000per plate",800-1200,1,+4 more
Upadhyay Banquet & A/C Hall,5.0,1 review,Banquet Hall,"Shahdara, Delhi NCR ",₹500per plate,350-500,,+2 more
Raakesh Farms,5.0,1 review,Farmhouse,"South Delhi, Delhi NCR ","₹2,000per plate",300-1000,2,+4 more
Jaypee Greens Golf & Spa Resort,4.5,14 reviews,Resort,Noida ,"₹2,800per plate",30-1200,170,+4 more
The Lodhi,,4 reviews,Farmhouse,"Lodhi Road, Delhi NCR ","₹2,800per plate",200-500,96,+3 more
The Sentinel Hotel,5.0,1 review,Banquet Hall,"Jasola, Delhi NCR ",₹950per plate,80-125,24,+3 more
The Lavanya By Diamond Crown Banquets (A Unit Of Bobby Tikki Wala India Pvt Ltd),4.9,14 reviews,Banquet Hall & Lawn,Noida ,"₹1,700per plate",200-1600,4,+4 more
Radisson Blu Hotel Greater Noida,4.9,11 reviews,5 Star Hotel,"Greater Noida, Greater Noida ","₹2,999per plate",40-550,175,+3 more
Pooja Garden,5.0,1 review,Lawn & Banquet Hall,"Uthandi, Chennai ",₹300per plate,50-100,,+2 more
HPM Paradise,5.0,1 review,Convention Hall,"Ambattur, Chennai ",₹500per plate,2000-3000,,+2 more
KVG Mahal,,,,Chennai ,"₹45,000per plate",200-250,4,+4 more
ALM Marriage Hall,,,Banquet Hall,Chennai ,Price on Request,300-350,2,+3 more
Sowbhagya Mahal and Ayswariya Mahal,,3 reviews,Convention Hall,"Choolaimedu, Chennai ","₹2,65,000per plate",550-2400,,+3 more
Mahil Mahal and Convention Center In Chrompet,5.0,3 reviews,Convention Hall,"GST Road, Chennai ",₹900per plate,600-900,10,+3 more
SIET Sports Pavillion Hall,4.5,4 reviews,Banquet Hall,"Teynampet, Chennai ",₹300per plate,300-400,,+2 more
Falor Farm,5.0,3 reviews,Lawn & Banquet Hall,"ECR East Coast Road, Chennai ","₹1,200per plate",200-300,5,+4 more
The Guntur Kaaram Party Hall,,,,Chennai ,₹390per plate,60-100,16,+3 more
Sri Sastha Mahal,,,Banquet Hall,Chennai ,₹450per plate,500-750,14,+3 more
Sri Krishnaswamy Kalyana Mandapam,5.0,2 reviews,Banquet Hall,"Parthasarathi, Chennai ",₹500per plate,800-1200,21,+4 more
The Checkers Hotel,,1 review,Hotel,"Saidapet, Chennai ",₹750per plate,40-1000,91,+3 more
Kailash Conventions,,,Convention Hall & Lawn,Chennai ,Price on Request,600-1100,,+2 more
VM Grand Mahal,5.0,3 reviews,Banquet Hall,Chennai ,Price on Request,350-700,12,+3 more
Radisson Blu Hotel & Suites GRT Chennai,4.8,2 reviews,5 Star Hotel,"Alandur, Chennai ","₹2,750per plate",35-1800,179,+3 more
Professor's Hall,,,Banquet Hall,"Valasaravakkam, Chennai ","₹90,000per function",120-200,4,+4 more
Hotel Saravana Bhavan,5.0,1 review,Hotel,"Vadapalani, Chennai ",₹200per plate,60-100,47,+3 more
RMP Palace,5.0,1 review,Convention Hall,Chennai ,₹300per plate,650-1000,,+2 more
JJ Paradise Marriage Hall,,,Banquet Hall,"Redhills, Chennai ",₹400per plate,600-900,,+2 more
Kulipatti Dhanalakshmi Party Hall A/C,,,Banquet Hall,"Tiruvottiyur, Chennai ",₹180per plate,150-250,,+2 more
Sadhuram Garden,5.0,1 review,Lawn & Banquet Hall,"Chinchwad, Pimpri Chinchwad ","₹90,000per function",1200-3000,,+3 more
Mazali Bistro and Banquets,,,,Pune ,₹650per plate,200-250,2,+3 more
"Omkar Garden, Kondhwa",5.0,1 review,Lawn & Banquet Hall,"Kondhwa, Pune ",₹500per plate,1000-2200,,+2 more
"Kapse Lawns, Pimpri",5.0,1 review,Wedding Lawn,"Pimple Saudagar, Pimpri Chinchwad ",₹550per plate,1000-3700,,+2 more
Mindspace Hotels & Resorts Pvt Ltd,,,Resort,"Pimpri, Pimpri Chinchwad ",₹750per plate,30-750,144,+3 more
"Garden Court, Kothrud",,14 reviews,Lawn & Banquet Hall,"Kothrud, Pune ",₹950per plate,40-1000,10,+3 more
Aamraa Resort Wedding Hall & Lawn,5.0,1 review,Hotel,Pune ,"₹2,500per plate",700-2000,21,+3 more
Avanti Kalagram,5.0,2 reviews,Hotel,Pune ,₹550per plate,100-150,50,+3 more
Hueton Greens and Resort,5.0,3 reviews,Scenic Wedding Resort,Pune ,"₹1,50,000per function",500-2000,14,+4 more
Krushnai Lawns,5.0,1 review,Lawn & Banquet Hall,Pune ,₹800per plate,240-1200,,+2 more
Pratikruti The Lakeview Resort,5.0,1 review,Resort,Pune ,₹250per plate,50-500,19,+3 more
Ashish Garden,5.0,1 review,Wedding Lawn,"Kothrud, Pune ",₹250per plate,300-400,,+2 more
Rasa Resort Destination Wedding,,,Resort,Pune ,₹450per plate,50-600,20,+4 more
The Mountain Mirage,,,Wedding Lawn,Pune ,"₹2,500per plate",70-80,6,+3 more
Vanah Villa and Resort,,,Farmhouse,Pune ,"₹2,000per plate",100-150,4,+3 more
"Shree Dhareshwar Mangal Karyalay, Katraj",,1 review,Banquet Hall,"Sinhagad Road, Pune ",₹250per plate,500-750,,+2 more
Malshej Agro Tourism & Farm,,,Wedding Lawn,Pune ,₹550per plate,250-400,22,+3 more
Hotel Deccan Park,5.0,1 review,Hotel,"Deccan Gymkhana, Pune ",₹450per plate,60-80,34,+3 more
Dinshaw Hall,,,Banquet Hall,Pune ,"₹50,000per function",300-500,2,+4 more
Morya Prasad Hall,,,Banquet Hall,"Pimpri, Pimpri Chinchwad ",₹300per plate,150-200,,+2 more
R.D. Vatika,,,Wedding Lawn,Lucknow ,Price on Request,300-450,6,+3 more
Hotel Aryan,,,Banquet Hall,"Gomti Nagar, Lucknow ",₹350per plate,120-200,15,+3 more
The Sylvette Avenue,,,Banquet Hall,"Gomti Nagar, Lucknow ",Price on Request,100-150,,+2 more
His Own Blessings Plaza Guest House and Marriage Hall,,,Banquet Hall,Lucknow ,₹300per plate,90-250,,+2 more
Laxmi Lawn and Resort,4.5,1 review,Resort,Lucknow ,"₹1,50,000per plate",300-500,20,+4 more
Basant Kunj Lawns & Resort,5.0,6 reviews,Lawn & Banquet Hall,"Dubagga, Lucknow ",₹600per plate,50-600,4,+3 more
4 Season Lawns and Banquet,5.0,1 review,Banquet Hall & Lawn,"Gomti Nagar, Lucknow ",₹650per plate,80-750,,+2 more
Rim Jhim Palace,,,Banquet Hall,Lucknow ,₹450per plate,100-150,,+2 more
Buddha Resort,5.0,1 review,Wedding Lawn,Lucknow ,₹500per plate,120-200,,+2 more
K. K. Palace,,,Lawn & Banquet Hall,"Alambagh, Lucknow ",₹800per plate,120-600,,+2 more
Royal Palace,,,Banquet Hall,Lucknow ,₹600per plate,150-200,,+2 more
Utkrisht Marriage Lawn,,,Banquet Hall,"Jankipuram, Lucknow ","₹85,000per function",200-250,,+3 more
Shyam International Hotels and Banquet,,,Hotel,"Gomti Nagar, Lucknow ","₹1,299per plate",150-200,15,+3 more
Chandra Marriage Lawn & Banquet Hall,,,Banquet Hall & Lawn,Lucknow ,₹600per plate,250-1200,,+2 more
Majestic Hotel & Banquet,,,Banquet Hall,Lucknow ,₹450per plate,400-600,11,+3 more
Play Cafe,,,Small Function Hall,Lucknow ,"₹1,200per plate",60-90,3,+3 more
Welcome Hall,,,Banquet Hall,"Balaganj, Lucknow ",₹500per plate,280-450,,+2 more
Imperial Teak Resort,,,Wedding Lawn,Lucknow ,"₹1,250per plate",200-800,4,+4 more
Golden Tulip Lucknow,,7 reviews,4 Star Hotel,Lucknow ,"₹2,000per plate",400-800,111,+3 more
Mangalam Guest House,,,Lawn & Banquet Hall,"Chinhat, Lucknow ",₹600per plate,150-1000,11,+3 more
Abhinandan - Maheshwari Samaj Janopayogi Bhawan,4.7,3 reviews,Banquet Hall,"Sanganer, Jaipur ",₹350per plate,400-600,,+2 more
The Raj Bagh Resort,5.0,2 reviews,Resort,Jaipur ,"₹1,350per plate",180-1500,44,+4 more
Hotel Nand Palace Restro & Lounge,,,Party Restaurant / Lounge,"Mansarovar, Jaipur ",₹450per plate,60-100,18,+3 more
KV Hotel And Restaurant,,,Party Restaurant / Lounge,"Chomu, Jaipur ",₹500per plate,100-150,23,+3 more
Eden Garden & Resorts,,2 reviews,Resort,"Muhana Mandi Road, Jaipur ","₹1,000per plate",100-2000,26,+3 more
Sanskar Hotel,,,Hotel,"Chitrakoot, Jaipur ",₹500per plate,250-350,40,+3 more
Talabgaon Bagh,4.5,1 review,Lawn & Banquet Hall,Jaipur ,"₹1,200per plate",50-200,7,+3 more
Hotel Royal Orchid Jaipur,4.7,3 reviews,4 Star Hotel,"Durgapura, Jaipur ","₹1,949per plate",40-1000,139,+3 more
Hotel Clarks Amer,4.6,20 reviews,5 Star Hotel,"Durgapura, Jaipur ","₹2,600per plate",10-700,215,+3 more
Kesar Bagh Marriage Garden,5.0,1 review,Wedding Lawn,"Khatipura, Jaipur ",₹400per plate,1000-1500,,+3 more
Sunrise Dreamworld Resort,,,Resort,Jaipur ,"₹8,00,000per function",150-3000,60,+4 more
Club Pub - G,,,Banquet Hall,"Sindhi Camp, Jaipur ",₹350per plate,40-70,,+2 more
Glorious Resort,5.0,2 reviews,Resort,Jaipur ,₹700per plate,600-3000,35,+3 more
Samurai Garden,,1 review,Hotel,"Ajmer Road, Jaipur ",₹800per plate,1000-2500,30,+3 more
Suryavanshi Resorts,5.0,1 review,Resort,"Hasanpura, Jaipur ",Price on Request,800-1000,14,+3 more
The Connaught House Jaipur,,,Banquet Hall,"Malviya Nagar, Jaipur ",₹699per plate,150-200,24,+3 more
Angel Resort,4.6,10 reviews,Hotel with Banquet & Lawn,Jaipur ,"₹1,200per plate",250-2000,63,+4 more
Rani Bagh Marriage Garden,,1 review,Lawn & Banquet Hall,"Jhotwara, Jaipur ","₹1,00,000per function",250-1800,,+3 more
"7 Apple Hotel Pratap Nagar, Jaipur",,,Hotel,Jaipur ,₹700per plate,150-250,88,+3 more
Kasturi Garden,,,Lawn & Banquet Hall,"Jhotwara, Jaipur ",₹300per plate,70-300,,+2 more
Upadhyay Banquet & A/C Hall,5.0,1 review,Banquet Hall,"Shahdara, Delhi NCR ",₹500per plate,350-500,,+2 more
Sandal Tree Banquets ,,6 reviews,Banquet Hall,"Ghaziabad, Ghaziabad ","₹1,500per plate",200-450,,+2 more
BR Farm House,5.0,1 review,Farmhouse,"Noida, Noida ",₹500per plate,400-600,,+2 more
"Taj Mahal, New Delhi",,12 reviews,5 Star Luxury Hotel,"New Delhi, Delhi NCR ","₹6,500per plate",20-500,213,+3 more
Pritam Farms,5.0,1 review,Farmhouse With Banquet,"Ghaziabad, Ghaziabad ",₹800per plate,325-1500,,+2 more
Romansiah,5.0,1 review,Banquet Hall,"Peera Garhi, Delhi NCR ",₹650per plate,80-100,,+2 more
Grand Imperia Banquet Najafgarh,4.5,15 reviews,Banquet Hall,"Najafgarh Road, Delhi NCR ","₹1,200per plate",150-600,,+2 more
The Maidens Crown Banquet,,26 reviews,Banquet Hall,"Peera Garhi, Delhi NCR ","₹1,450per plate",90-1000,,+2 more
Rigveda Farms,4.8,13 reviews,Farmhouse With Banquet,"Sector 49, Faridabad ","₹1,550per plate",250-1200,4,+5 more
Noida Golf Course Banquet Hall,4.5,9 reviews,Banquet Hall & Lawn,"East Delhi, Noida ",₹950per plate,150-400,,+2 more
7 Star Banquet Hall,5.0,1 review,Banquet Hall,"Najafgarh Road, Delhi NCR ",₹650per plate,650-800,,+2 more
Aashirwad Banquet,5.0,1 review,Banquet Hall,"Geeta Colony, Delhi NCR ",₹800per plate,150-250,,+2 more
Narayana Banquet Hall,5.0,1 review,Banquet Hall,"Mayur Vihar, Delhi NCR ",₹450per plate,120-200,,+2 more
Hide Away Suites,4.5,1 review,Hotel,Delhi NCR ,"₹1,300per plate",40-250,39,+3 more
Rain Tree,5.0,1 review,Banquet Hall,"Najafgarh Road, Delhi NCR ",₹700per plate,150-400,,+2 more
Chaudhary Garden,5.0,2 reviews,Farmhouse,"Punjabi Bagh, Delhi NCR ",₹600per plate,600-1000,,+2 more
Sarovar Portico Surajkund,5.0,1 review,5 Star Hotel,"Civil Lines, Delhi NCR ","₹1,800per plate",150-200,60,+3 more
Grand Milan Regency,4.7,5 reviews,Banquet Hall,"Kaushambi, Ghaziabad ","₹1,200per plate",100-450,1,+4 more
Galaxy Hotel,,4 reviews,Hotel,"Sector 15, Gurgaon ","₹1,600per plate",30-500,80,+3 more
A Dot by GNH,5.0,3 reviews,Banquet Hall,"Udyog Vihar, Gurgaon ",Rental Only,900-1500,,+2 more
"Lemon Tree Hotel, Shimona, Chennai",,,Hotel,Chennai ,₹800per plate,30-200,54,+3 more
VPMA's Captain Mahal,4.5,1 review,Convention Hall,"Tondiarpet, Chennai ",₹500per plate,700-1500,10,+3 more
Sri Sanjeevi Mini Hall,5.0,1 review,Banquet Hall,Chennai ,Price on Request,230-400,5,+3 more
Hotel Shree Mangalambiga,5.0,1 review,Banquet Hall,"Mambalam, Chennai ","₹50,000per function",70-120,,+3 more
Abirami Mini Hall,5.0,7 reviews,Banquet Hall,"Thirumullaivoyal, Chennai ",Price on Request,150-200,,+2 more
MPK Mahal,,3 reviews,Banquet Hall,Chennai ,"₹45,000per function",150-180,,+3 more
Hotel Palmgrove,5.0,3 reviews,Hotel,"Nungambakkam, Chennai ",₹300per plate,300-500,89,+3 more
Rajan Gardens,5.0,5 reviews,Banquet Hall & Lawn,"ECR East Coast Road, Chennai ","₹42,000per function",90-1800,8,+4 more
Sri Alwar Palace,5.0,2 reviews,Convention Hall,"Maraimalai Nagar, Chennai ","₹1,90,000per plate",600-1000,,+3 more
SB Mahal,,,Banquet Hall,"Selaiyur, Chennai ",₹300per plate,500-750,,+2 more
Perunthalaivar Kamarajar Thirumana Mandapam,5.0,1 review,Kalyana Mandapam,"Redhills, Chennai ",₹600per plate,150-200,,+3 more
Sri Bhagyalakshmi Kalyana Mandapam,,,Kalyana Mandapam,"Maduravoyal, Chennai ",Price on Request,600-900,6,+3 more
Pakwan Chennai,5.0,2 reviews,Banquet Hall,"Parthasarathi, Chennai ","₹1,050per plate",40-750,,+2 more
BKN Auditorium,5.0,3 reviews,Banquet Hall,Chennai ,Price on Request,700-900,,+2 more
MSR Mahal,5.0,1 review,Banquet Hall,"Purasawakkam, Chennai ",₹450per plate,200-300,,+2 more
Leelavati Banquets,5.0,1 review,Lawn & Banquet Hall,Chennai ,₹500per plate,150-2500,,+2 more
Shreenath Mini Hall,,,Banquet Hall,"West Mambalam, Chennai ","₹80,000per function",150-250,,+3 more
The Country Club Jade Beach Resort,,,Resort,Chennai ,₹699per plate,50-1000,32,+3 more
Jupiter Party Hall,5.0,1 review,Banquet Hall,Chennai ,₹500per plate,145-200,,+2 more
"The Ambassador , Pallava",5.0,2 reviews,Convention Hall,Chennai ,"₹1,100per plate",600-1000,,+2 more
Opus Banquets,5.0,2 reviews,Banquet Hall,"Camp, Pune ",₹699per plate,250-450,,+2 more
Vinkar Sabhagruha Hall,5.0,1 review,Banquet Hall,"Bibwewadi, Pune ",₹550per plate,400-550,,+3 more
Hakuna Matata Poolside Camping,,,Wedding Lawn,Pune ,Price on Request,200-300,14,+3 more
Beto's Bar & Kitchen,,,Party Restaurant / Lounge,"Undri, Pune ",₹600per plate,50-150,,+2 more
The Mistty Mountain,,,Lawn & Banquet Hall,Pune ,₹999per plate,50-1000,10,+3 more
Vitthalanjan Mangal Karyalaya,,,Lawn & Banquet Hall,"Viman Nagar, Pune ","₹1,00,000per function",420-2250,,+3 more
Song of Life County Villa Resort,,,Lawn & Banquet Hall,"Kasba Peth, Pune ",Price on Request,100-200,7,+3 more
"Gokul Pure Veg, Katraj",5.0,1 review,Banquet Hall,Pune ,₹400per plate,75-200,,+2 more
Hotel Sangram Palace,,,Banquet Hall & Lawn,Pune ,Price on Request,60-150,22,+3 more
"Seasons,  Aundh",5.0,1 review,Banquet Hall & Lawn,Pune ,₹600per plate,40-100,,+2 more
Essentia Premier Hotel Pune Wakad,,,Hotel,Pimpri Chinchwad ,"₹1,100per plate",100-200,61,+3 more
Hotel Dreamland,,,Hotel,Lonavala ,Price on Request,180-200,30,+3 more
Fairfield by Marriott Pune,5.0,1 review,Hotel,Pune ,Price on Request,50-150,109,+3 more
Sheetal Arch Banquet,,,Banquet Hall,Pune ,₹650per plate,350-500,,+2 more
Anushree Hall,,,Banquet Hall,"Sinhagad Road, Pune ",₹225per plate,400-500,,+2 more
Ishani Banquets,,,Banquet Hall,Pimpri Chinchwad ,₹450per plate,150-200,10,+3 more
The Village Rooftop Lounge & Dining,,,Party Restaurant / Lounge,"Kondhwa, Pune ",₹450per plate,150-200,,+2 more
Oakwood Premier,,2 reviews,Hotel,Pune ,"₹1,000per plate",150-400,200,+3 more
Basho Resort Mulshi,,,Resort,Pune ,₹850per plate,60-150,22,+3 more
Amrai Resort,5.0,1 review,Banquet Hall & Lawn,Pune ,₹500per plate,70-100,10,+3 more
The Ecstasy,5.0,1 review,Banquet Hall,Lucknow ,"₹1,000per plate",500-700,21,+3 more
Kushmanda Greens,,,Banquet Hall & Lawn,Obaree ,"₹50,000per function",70-150,8,+4 more
Aashirwad Marriage Lawn,,,Wedding Lawn,Lucknow ,₹500per plate,200-300,,+2 more
Hari Kripa Utsaw Lawn,,,Wedding Lawn,Lucknow ,₹700per plate,500-700,,+2 more
ATN Lawn,,,Banquet Hall,"Rajajipuram, Lucknow ",₹600per plate,1000-1500,,+2 more
Kothi Mall,,,,Lucknow ,Price on Request,700-1000,5,+3 more
Tanushree Farms,,,Wedding Lawn,Lucknow ,₹350per plate,600-1000,,+2 more
Chandra Farms,,,Wedding Lawn,Lucknow ,₹800per plate,500-600,4,+3 more
Pradhan Marriage Hall,,,Lawn & Banquet Hall,Lucknow ,₹800per plate,600-2000,,+2 more
Spice Sutra,,,Banquet Hall,"Gomti Nagar, Lucknow ",₹899per plate,200-250,18,+3 more
Khushi Lawn,5.0,43 reviews,Lawn & Banquet Hall,"Aliganj, Lucknow ","₹1,100per plate",150-1500,6,+6 more
Tiwari Banquet Hall,,,Banquet Hall,"Alambagh, Lucknow ",Price on Request,90-150,,+2 more
Kings Hotel And Banquet Hall,,,Banquet Hall,"Rajajipuram, Lucknow ",₹750per plate,100-200,10,+3 more
MM Lawn,,,Lawn & Banquet Hall,"Rajajipuram, Lucknow ",₹450per plate,150-500,,+2 more
Gaura Resort,,,Hotel,Lucknow ,₹850per plate,250-550,20,+3 more
Hotel Deep,,,Banquet Hall,"Aminabad, Lucknow ",₹450per plate,80-120,25,+3 more
J.K. Palace,,,Banquet Hall,"Indira Nagar, Lucknow ",Price on Request,200-300,,+2 more
Tayyab Marriage Hall,,,Wedding Lawn,Lucknow ,₹500per plate,300-500,,+2 more
Shalimar Palace,,,Banquet Hall,"SGPGI Rae Bareilly Road, Lucknow ",₹350per plate,80-130,,+2 more
Devlok Marriage Lawn,,,Wedding Lawn,Lucknow ,"₹50,000per function",750-1000,,+3 more
The Oberoi Rajvilas,5.0,2 reviews,5 Star Hotel,"Sanganer, Jaipur ","₹3,000per plate",70-150,71,+3 more
Sunflower Saga,,,Wedding Lawn,Jaipur ,₹350per plate,200-250,5,+4 more
Tiwari Marriage Garden,,,Wedding Lawn,"Sindhi Camp, Jaipur ",₹400per plate,1200-1500,,+2 more
Bara Bungalow,5.0,1 review,Wedding Lawn,Jaipur ,"₹1,200per plate",600-900,15,+4 more
ibis Jaipur City Centre,5.0,1 review,Hotel,"Civil Lines, Jaipur ",₹500per plate,60-300,74,+3 more
Hotel King's Corner,,,Small Function Hall,Jaipur ,₹700per plate,40-70,24,+3 more
Fateh Niwas,,,Wedding Lawn,"Niwaru Road, Jaipur ",₹450per plate,380-600,,+2 more
A.L. Paradise,,,Wedding Lawn,"Sanganer, Jaipur ",Price on Request,500-800,,+2 more
Country Inn & Suites,,1 review,Banquet Hall,"Bani Park, Jaipur ",₹950per plate,270-450,,+2 more
G.K. Paradise,,,Lawn & Banquet Hall,"Jhotwara, Jaipur ",₹450per plate,100-1500,,+2 more
Golden Paradise,,,Wedding Lawn,"Niwaru Road, Jaipur ",₹400per plate,700-1000,,+2 more
Lakshdeep Garden,,,Lawn & Banquet Hall,"Muhana Mandi Road, Jaipur ",₹400per plate,250-2500,,+2 more
Kanchan Kesari Vaishali,,,Banquet Hall,"Vaishali Nagar, Jaipur ",₹300per plate,70-120,,+2 more
Royale Lalit,5.0,1 review,Hotel,"Queens Road, Jaipur ",₹799per plate,100-350,37,+3 more
Aananda Banquet,,,Lawn & Banquet Hall,Jaipur ,"₹1,000per plate",150-500,4,+3 more
Hotel Padmawati Palace,,,Small Function Hall,"New Sanganer Road Mansarover, Jaipur ",₹450per plate,60-100,21,+4 more
Mughal Rasoi,,,Banquet Hall,Jaipur ,₹600per plate,50-80,,+2 more
Sumer Paradise,,,Wedding Lawn,"Sanganer, Jaipur ",₹450per plate,1250-2000,,+2 more
Royal Orchid Resort & Banquets,,,Resort,Jaipur ,₹700per plate,150-700,25,+4 more
Rajwada Palace Marriage Garden,5.0,1 review,Wedding Lawn,Jaipur ,"₹1,800per plate",1500-2500,,+2 more
SK Precious Banquet,4.7,22 reviews,Banquet Hall,"Janakpuri, Delhi NCR ","₹1,800per plate",175-700,4,+5 more
PK Banquet,5.0,1 review,Hotel,"East Delhi, Noida ","₹1,000per plate",50-120,36,+3 more
Amaatra Banquet,,4 reviews,Banquet Hall & Lawn,"Vasundhara, Ghaziabad ","₹1,250per plate",100-1200,8,+3 more
Home Hospitality Pvt. Ltd.,,1 review,Banquet Hall & Lawn,"Old Gurgaon, Gurgaon ","₹1,000per plate",30-80,,+3 more
Chanson Banquets,5.0,5 reviews,Banquet Hall,"Vikaspuri, Delhi NCR ","₹1,100per plate",40-250,18,+3 more
The Habitare Hotel,5.0,1 review,Hotel,"Sector 15, Gurgaon ","₹1,000per plate",250-350,60,+3 more
Prakash Continental,5.0,2 reviews,Banquet Hall,"Wazirpur, Delhi NCR ","₹1,000per plate",200-1000,11,+3 more
JPS Residency & Hospitality Services,5.0,6 reviews,Hotel with Banquet & Lawn,"Gurgaon, Gurgaon ","₹1,800per plate",100-1000,65,+3 more
Casa Meera Hotels,5.0,17 reviews,Hotel,"Noida, Noida ",₹850per plate,150-400,42,+5 more
S K Mohit Palace,4.5,1 review,Banquet Hall,"Jhilmil Industrial Area, Delhi NCR ","₹1,000per plate",150-900,,+2 more
Noida Dreamz,5.0,1 review,Hotel,"Noida, Noida ",₹850per plate,150-300,30,+3 more
Clarks Inn Pacific Mall,5.0,1 review,Hotel,"Kaushambi, Delhi NCR ","₹1,200per plate",150-500,35,+3 more
Rosella by S.K,5.0,3 reviews,Banquet Hall,Faridabad ,"₹2,500per plate",420-700,5,+3 more
The Grand Rama Ceremonial Wedding venue,,3 reviews,Large Banquet with Rooms,"Greater Noida, Greater Noida ","₹1,600per plate",200-2500,35,+3 more
Shangri-La Eros New Delhi,4.8,25 reviews,5 Star Hotel,"Connaught Place, Delhi NCR ","₹5,000per plate",180-600,320,+3 more
Madhuban Hotel,,2 reviews,Hotel,"Greater Kailash, Delhi NCR ","₹1,200per plate",35-250,41,+3 more
Hotel Krishna Sagar,5.0,1 review,Banquet Hall,"Raj Nagar, Ghaziabad ",₹800per plate,180-300,24,+3 more
Lily White,,19 reviews,Lawn & Banquet Hall,"Chattarpur, Delhi NCR ","₹1,400per plate",150-700,25,+3 more
Alpina Hotel,5.0,1 review,Hotel,"Gk 2, Delhi NCR ","₹1,400per plate",60-150,32,+3 more
The Oliver Suites,,5 reviews,Banquet Hall,Delhi NCR ,"₹1,600per plate",200-300,24,+3 more
Dakshina Chitra Heritage Museum,,,Lawn & Banquet Hall,Chennai ,₹750per plate,500-800,10,+3 more
Lemon Tree Hotel Chennai,5.0,1 review,4 Star Hotel,"Saidapet, Chennai ","₹1,300per plate",60-180,54,+3 more
Durai Mini Hall,,,Banquet Hall,"Virugambakkam, Chennai ",₹300per plate,90-150,,+2 more
Madharas Banquet Hall T.Nagar,5.0,1 review,Banquet Hall,Chennai ,₹560per plate,500-550,4,+4 more
